Country,year,month,value
Aland Islands,2015,January,20
Aland Islands,2015,February,24
Aland Islands,2015,March,20
Aland Islands,2015,April,28
Aland Islands,2015,May,25
Aland Islands,2015,June,17
Aland Islands,2015,July,15
Aland Islands,2015,August,32
Aland Islands,2015,September,23
Aland Islands,2015,October,20
Aland Islands,2015,November,28
Aland Islands,2015,December,23
Aland Islands,2014,January,16
Aland Islands,2014,February,26
Aland Islands,2014,March,22
Aland Islands,2014,April,21
Aland Islands,2014,May,18
Aland Islands,2014,June,25
Aland Islands,2014,July,32
Aland Islands,2014,August,24
Aland Islands,2014,September,33
Aland Islands,2014,October,25
Aland Islands,2014,November,24
Aland Islands,2014,December,16
Aland Islands,2013,January,23
Aland Islands,2013,February,17
Aland Islands,2013,March,28
Aland Islands,2013,April,22
Aland Islands,2013,May,32
Aland Islands,2013,June,32
Aland Islands,2013,July,19
Aland Islands,2013,August,28
Aland Islands,2013,September,27
Aland Islands,2013,October,24
Aland Islands,2013,November,19
Aland Islands,2013,December,16
Albania,2013,January,2839
Albania,2013,February,2408
Albania,2013,March,2621
Albania,2013,April,2450
Albania,2013,May,2870
Albania,2013,June,3062
Albania,2013,July,3451
Albania,2013,August,3258
Albania,2013,September,3499
Albania,2013,October,3429
Albania,2013,November,2949
Albania,2013,December,2914
Algeria,2015,January,85534.25961
Algeria,2015,February,74998.63882
Algeria,2015,March,83032.54035
Algeria,2015,April,73720.17124
Algeria,2015,May,79301.56221
Algeria,2015,June,92716.88483
Algeria,2015,July,101842.9991
Algeria,2015,August,101051.9227
Algeria,2015,September,92881.91544
Algeria,2015,October,89373.09998
Algeria,2015,November,82372.3852
Algeria,2015,December,83458.53883
Algeria,2014,January,84958.04652
Algeria,2014,February,74815.45934
Algeria,2014,March,83637.6876
Algeria,2014,April,74173.52886
Algeria,2014,May,77209.05314
Algeria,2014,June,90212.23071
Algeria,2014,July,95563.48732
Algeria,2014,August,96919.90327
Algeria,2014,September,89556.11978
Algeria,2014,October,86805.46686
Algeria,2014,November,80628.91103
Algeria,2014,December,79767.69376
Algeria,2013,January,80349.84441
Algeria,2013,February,69534.1584
Algeria,2013,March,74800.44043
Algeria,2013,April,72840.96957
Algeria,2013,May,70909.37635
Algeria,2013,June,81732.04685
Algeria,2013,July,95954.55224
Algeria,2013,August,93279.02148
